,URL,Date,Rent,Bedrooms,Bathrooms,Area,Distance,Rent_bucket
1014,https://boston.craigslist.org/gbs/apa/d/somerville-chic-somerville-bedroom-in/7505237206.html,Tue 05 Jul 10:00:37 PM,2850.0,1,1.0,605.0,4.13837,"(2520, 3300]"
1015,https://boston.craigslist.org/gbs/apa/d/mattapan-top-floor-master-suite/7505213312.html,Tue 05 Jul 08:40:34 PM,1375.0,1,1.5,1505.0,4.67735,"(795, 2520]"
1017,https://boston.craigslist.org/gbs/apa/d/newton-15-baths-large-first-floor-in/7505162266.html,Tue 05 Jul 06:27:07 PM,2800.0,2,1.5,1400.0,6.85425,"(2520, 3300]"
1019,https://boston.craigslist.org/gbs/apa/d/boston-access-to-boat-landing-access-to/7505157849.html,Tue 05 Jul 06:16:53 PM,4773.0,2,2.0,931.0,1.77868,"(3300, 5100]"
1020,https://boston.craigslist.org/gbs/apa/d/somerville-cozy-somerville-studio-ht-hw/7505155714.html,Tue 05 Jul 06:11:56 PM,2100.0,0,1.0,405.0,4.25884,"(795, 2520]"
1021,https://boston.craigslist.org/gbs/apa/d/brookline-village-beautiful-in-historic/7505146933.html,Tue 05 Jul 05:52:27 PM,3650.0,2,1.0,1540.0,4.86287,"(3300, 5100]"
1022,https://boston.craigslist.org/gbs/apa/d/cambridge-patio-parking-free-laundry/7505137387.html,Tue 05 Jul 05:31:49 PM,3150.0,3,1.0,1250.0,3.39348,"(2520, 3300]"
1023,https://boston.craigslist.org/gbs/apa/d/brighton-utilities-included-sunny-open/7505131739.html,Tue 05 Jul 05:19:48 PM,2000.0,1,1.0,620.0,5.23182,"(795, 2520]"
1024,https://boston.craigslist.org/gbs/apa/d/cambridge-bed-bath-story-condo/7505123112.html,Tue 05 Jul 05:02:26 PM,4500.0,2,2.0,1586.0,5.51387,"(3300, 5100]"
1025,https://boston.craigslist.org/gbs/apa/d/charlestown-1br-unit-close-to-sullivan/7505086838.html,Tue 05 Jul 03:52:24 PM,3614.0,1,1.0,756.0,2.45034,"(3300, 5100]"
1026,https://boston.craigslist.org/gbs/apa/d/charlestown-1br-unit-close-to-sullivan/7505086261.html,Tue 05 Jul 03:51:16 PM,3692.0,1,1.0,645.0,2.45034,"(3300, 5100]"
1027,https://boston.craigslist.org/gbs/apa/d/charlestown-studio-unit-close-to/7505085736.html,Tue 05 Jul 03:50:14 PM,2839.0,0,1.0,526.0,2.45034,"(2520, 3300]"
1028,https://boston.craigslist.org/gbs/apa/d/charlestown-studio-unit-close-to/7505085222.html,Tue 05 Jul 03:49:14 PM,2535.0,0,1.0,435.0,2.45034,"(2520, 3300]"
1029,https://boston.craigslist.org/gbs/apa/d/east-boston-east-boston-chelsea-st-pet/7505082770.html,Tue 05 Jul 03:44:32 PM,2695.0,2,1.0,900.0,1.94585,"(2520, 3300]"
1030,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-1br-near-leather/7505082433.html,Tue 05 Jul 03:43:55 PM,3649.0,1,1.0,674.0,1.02168,"(3300, 5100]"
1031,https://boston.craigslist.org/gbs/apa/d/west-roxbury-brand-new-luxury-bed-no-fee/7505082017.html,Tue 05 Jul 03:43:10 PM,2730.0,1,1.0,731.0,8.39349,"(2520, 3300]"
1032,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-1br-near-leather/7505081949.html,Tue 05 Jul 03:43:00 PM,3924.0,1,1.0,687.0,1.02168,"(3300, 5100]"
1033,https://boston.craigslist.org/gbs/apa/d/west-roxbury-brand-new-gorgeous-bed/7505080886.html,Tue 05 Jul 03:40:59 PM,3280.0,2,2.0,1128.0,8.41631,"(2520, 3300]"
1035,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-1br-live-along-seaport/7505080306.html,Tue 05 Jul 03:39:55 PM,4239.0,1,1.0,722.0,0.29013,"(3300, 5100]"
1036,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-1br-live-along-seaport/7505079593.html,Tue 05 Jul 03:38:36 PM,4214.0,1,1.0,722.0,0.29013,"(3300, 5100]"
1037,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-studio-unit-live-along/7505078626.html,Tue 05 Jul 03:36:49 PM,3350.0,0,1.0,491.0,0.29013,"(3300, 5100]"
1038,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-studio-unit-live-along/7505078226.html,Tue 05 Jul 03:36:06 PM,3945.0,0,1.0,491.0,0.29013,"(3300, 5100]"
1039,https://boston.craigslist.org/gbs/apa/d/boston-no-fee-studio-unit-live-along/7505077701.html,Tue 05 Jul 03:35:09 PM,3275.0,0,1.0,491.0,0.29013,"(2520, 3300]"
1040,https://boston.craigslist.org/gbs/apa/d/brookline-village-modern-bed-near/7505041431.html,Tue 05 Jul 02:29:22 PM,3270.0,1,1.0,744.0,3.59021,"(2520, 3300]"
1042,https://boston.craigslist.org/gbs/apa/d/brookline-village-just-posted-beacon/7504975074.html,Tue 05 Jul 12:32:29 PM,1595.0,0,1.0,400.0,4.80941,"(795, 2520]"
1043,https://boston.craigslist.org/gbs/apa/d/cambridge-br-study-townhouse-deck-huron/7504969807.html,Tue 05 Jul 12:23:32 PM,3200.0,2,1.0,900.0,4.7125,"(2520, 3300]"
